"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"67531099999","2013-04-18T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","58","63","","","","9","86","FEW:01 118","","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  18064 67531 32980 10000 10170 20146 48/// 81030 333 10311 20105 59005 81362;","","","","","","","","","",""
"67531099999","2013-04-19T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","61","67","","","","9","81","FEW:01 394","","","15.53","","030","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  19064 67531 31975 10301 10193 20160 48/// 80004 333 10326 20114 59005 81082;","","","","","","","","","",""
"67531099999","2013-04-19T14:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","58","87","","","","","38","SCT:03 69","","","18.64","","300","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  19124 67531 42880 73003 10305 20147 48/// 83108 333 5//// 83857 85281;","","","","","","","","","",""
"67531099999","2013-04-22T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","66","69","","","","9","91","SCT:03 98","","","18.64","","150","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  22064 67531 12980 71501 10206 20191 48/// 60014 83078 333 10321 20185 58012 83360 87280;","","","","","","","","","",""
"67531099999","2013-04-22T14:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","50","84","","","","","31","FEW:02 69","","","18.64","","160","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  22124 67531 42880 71603 10290 20101 48/// 82108 333 5//// 82857 87280;","","","","","","","","","",""
"67531099999","2013-04-23T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","58","71","","","","9","64","FEW:01 118","","","18.64","","150","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  23064 67531 32980 11503 10216 20145 48/// 81034 333 10301 20146 59004 81362 81082;","","","","","","","","","",""
"67531099999","2013-04-25T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","62","67","","","","9","83","FEW:01 118","","","18.64","","120","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  25064 67531 32980 21207 10195 20165 48/// 81032 333 10316 20152 58018 81362 82080;","","","","","","","","","",""
"67531099999","2013-04-25T11:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","62","79","","","","9","57","FEW:01 118","","","18.64","","140","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  25094 67531 42980 31407 10259 20166 48/// 81032 333 58019 81362 83081;","","","","","","","","","",""
"67531099999","2013-04-26T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","58","68","","","","9","71","BKN:07 108","","","18.64","","120","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  26064 67531 32980 71207 10200 20145 48/// 87030 333 10303 20141 58003 87361;","","","","","","","","","",""
"67531099999","2013-04-26T14:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","53","82","","","","9","36","BKN:07 59","","","18.64","","140","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  26124 67531 42780 71407 10280 20115 48/// 87100 333 59002 87856;","","","","","","","","","",""
